doi,citedby_crossref
10.1007/978-3-319-28658-7_55,4
10.1007/s10858-015-9995-7,3
10.2113/gssgfbull.186.2-3.193,2
10.1210/me.2015-1133,28
10.1016/j.powtec.2015.04.082,9
10.2307/2974735,7
10.1016/j.neuropharm.2012.07.009,59
10.1007/s10508-010-9643-y,1
10.1023/A:1020699013309,49
10.1108/07363760110410263,604
10.1017/S0034670512001088,1
10.1126/science.aad5143,443
10.1126/science.aad7977,289
10.1126/science.aad6252,65
10.1177/1938965509332762,16
10.1038/nrclinonc.2015.213,54
10.4028/www.scientific.net/AMR.896.310,0
10.1242/jcs.175745,27
10.1002/14651858,1610
10.1038/nature16961,1521
10.1016/j.healun.2007.09.021,17
10.1177/1094428115624965,51
10.1038/nbt.2842,1285
10.1515/reveh-2015-0027,22
10.1093/ejcts/ezv055,0
10.1016/j.brainres.2015.11.019,6
10.1523/JNEUROSCI.1045-15.2015,21
10.1038/nmat1849,23703
10.1016/j.bmc.2015.08.029,23
10.1073/pnas.1510461112,65
10.2113/gssgfbull.186.4-5.223,5
10.1038/nrc.2015.5,185
10.1126/science.aad5177,404
10.1016/j.joen.2009.12.007,72
10.1056/NEJMra1404489,126
10.1056/NEJMra1500587,110
10.1109/INDICON.2014.7030528,2
10.1126/science.aad5725,363
10.1136/bmj.d7157,95
10.1038/nprot.2013.143,2485
10.1016/j.tem.2015.11.007,42
10.1086/663777,12
10.1016/j.jsv.2014.06.032,20
10.1038/nrc.2015.3,109
10.1038/nrmicro.2015.28,39
10.1016/j.watres.2012.09.058,777
10.1016/j.biosystems.2015.12.008,6
10.1542/pir.36-12-514,6
10.1109/TKDE.2013.109,782
10.1016/0042-6989(94)90152-X,49
10.1080/15548627.2015.1100356,1575
10.1056/NEJMra1207788,31
10.1111/j.1365-3016.1990.tb00638.x,77
10.1056/NEJMcp1513724,188
10.1001/jamapsychiatry.2013.4291,64
10.1126/science.aad6499,42
10.1038/nri.2015.8,131
10.1504/IJCNDS.2015.070286,3
10.1109/ICTRC.2015.7156440,6
10.1038/nrg2626,3487
10.1126/science.aad3292,113
10.1126/science.aad6780,291
10.1038/nature16526,726
10.1111/j.1753-4887.1997.tb06460.x,111
10.1056/NEJMcp1415786,43
10.1038/nature16455,530
10.1038/nature16185,369
10.1126/science.aad5227,692
10.1038/nature14098,827
10.1016/j.ccell.2015.07.005,22
10.1137/0217022,417
10.1007/s10681-015-1567-0,7
10.1093/jmicro/dfq068,60
10.1038/nmeth.3732,19
10.1016/j.biotechadv.2015.06.003,73
10.1038/nature04969,8189
10.1016/0168-6445(94)90025-6,23
10.1016/j.neuroimage.2015.12.028,41
10.1016/j.cell.2015.12.041,110
10.1056/NEJMra1413919,96
10.1016/j.canrad.2015.05.024,2
10.1038/nature16166,203
10.1038/nature16547,134
10.1056/NEJMcpc1501306,2
10.1126/science.1258096,1640
10.1145/2661829.2662074,1
10.1038/nnano.2015.230,887
10.1007/BF03225235,0
10.1038/nrg.2015.10,514
10.1126/science.aad7893,212
10.1126/science.aad1080,637
10.1074/jbc.M115.670794,3
10.1021/acs.jpclett.5b01610,169
10.1126/science.aad3749,598
10.1016/j.cobeha.2015.05.001,13
10.1038/nrm.2015.2,265
10.1126/science.aab3798,752
10.1016/j.compbiolchem.2015.07.007,3
